App_name,App_score,App_ratings,App_reviews,App_installs
Free Fire MAX: Fire Kickoff,4.3212094,30891458,5939831,"500,000,000+"
BGMI: FPS Battle Royale,4.3156767,7335897,2506106,"100,000,000+"
Modern Combat 5: mobile FPS,4.340869,4258802,159375,"100,000,000+"
Sniper 3D：Gun Shooting Games,4.24994,18195691,600148,"500,000,000+"
Cover Fire: Offline Shooting,4.2025757,2568804,155048,"100,000,000+"
Roblox,4.348847,48936578,743815,"1,000,000,000+"
Mob Control,4.158265,918461,29444,"100,000,000+"
Marvel Contest of Champions,4.196445,3220877,114531,"100,000,000+"
Dan the Man: Action Platformer,4.606857,1997259,36950,"100,000,000+"
Critical Ops: Multiplayer FPS,4.360276,2471718,56430,"100,000,000+"
